Complaint ID,Date,Category,Description,Location,Status,Priority Level,Department,Response Time (Days),latitude,longitude
CMP-1034,7/26/2024,Garbage Collection,Garbage Collection reported in Parks,Downtown,Resolved,High,Traffic,27.0,24.803743,46.601649
CMP-1035,10/17/2023,Illegal Parking,Illegal Parking reported in Downtown,City Center,In Progress,Critical,Public Works,,24.840023,46.640931
CMP-1036,12/3/2024,Noise Complaint,Noise Complaint reported in Parks,Industrial Area,Resolved,Critical,Traffic,25.0,24.74823,46.716825
CMP-1037,6/29/2023,Noise Complaint,Noise Complaint reported in Residential Area,Residential Area,Resolved,High,Public Works,4.0,24.660563,46.661018
CMP-1038,1/16/2024,Garbage Collection,Garbage Collection reported in Residential Area,City Center,Pending,Critical,Sanitation,,24.830466,46.749728
CMP-1039,2/6/2023,Illegal Parking,Illegal Parking reported in Suburbs,Industrial Area,Resolved,High,Water Management,25.0,24.828569,46.611854
CMP-1040,5/2/2023,Illegal Parking,Illegal Parking reported in Residential Area,Residential Area,Resolved,High,Traffic,29.0,24.805634,46.60307
CMP-1041,9/9/2024,Illegal Parking,Illegal Parking reported in City Center,Residential Area,Escalated,Medium,Public Works,,24.662547,46.635986
CMP-1042,5/31/2023,Water Leakage,Water Leakage reported in Industrial Area,Industrial Area,In Progress,Critical,Water Management,,24.641019,46.67571
CMP-1043,8/4/2024,Street Lighting,Street Lighting reported in Industrial Area,Parks,Resolved,Low,Parks & Recreation,14.0,24.653889,46.754608
CMP-1044,1/26/2024,Potholes,Potholes reported in Parks,Industrial Area,Resolved,Critical,Parks & Recreation,14.0,24.674619,46.742808
CMP-1045,10/2/2024,Street Lighting,Street Lighting reported in Downtown,Parks,Resolved,Medium,Sanitation,12.0,24.669149,46.720536
CMP-1046,3/6/2023,Noise Complaint,Noise Complaint reported in Industrial Area,City Center,Pending,Low,Parks & Recreation,,24.802714,46.642929
CMP-1047,9/16/2024,Noise Complaint,Noise Complaint reported in Suburbs,Residential Area,Pending,Critical,Parks & Recreation,,24.727648,46.668433
CMP-1048,4/4/2023,Garbage Collection,Garbage Collection reported in Parks,Industrial Area,In Progress,Low,Traffic,,24.777645,46.749827
CMP-1049,4/1/2023,Potholes,Potholes reported in Downtown,Downtown,Resolved,Critical,Traffic,14.0,24.823607,46.775538
CMP-1050,5/21/2023,Noise Complaint,Noise Complaint reported in City Center,City Center,Pending,High,Sanitation,,24.785095,46.795104
CMP-1051,5/15/2024,Noise Complaint,Noise Complaint reported in City Center,Industrial Area,Pending,High,Parks & Recreation,,24.72391,46.628384
CMP-1052,6/16/2023,Noise Complaint,Noise Complaint reported in Suburbs,Parks,Resolved,High,Public Works,30.0,24.716159,46.772193
CMP-1053,6/12/2024,Garbage Collection,Garbage Collection reported in Suburbs,Downtown,Resolved,Critical,Sanitation,7.0,24.742498,46.644767
CMP-1054,1/2/2023,Illegal Parking,Illegal Parking reported in Industrial Area,Industrial Area,Resolved,Low,Water Management,30.0,24.604435,46.756815
CMP-1055,11/28/2023,Noise Complaint,Noise Complaint reported in Suburbs,Parks,Resolved,High,Water Management,21.0,24.615465,46.653259
CMP-1056,3/3/2023,Street Lighting,Street Lighting reported in Parks,Suburbs,In Progress,Low,Traffic,,24.84757,46.678121
CMP-1057,5/27/2024,Potholes,Potholes reported in Industrial Area,Suburbs,Resolved,Low,Sanitation,28.0,24.635358,46.660503
CMP-1058,9/25/2024,Street Lighting,Street Lighting reported in Suburbs,City Center,Resolved,High,Parks & Recreation,14.0,24.838921,46.795996
CMP-1059,10/11/2023,Illegal Parking,Illegal Parking reported in Downtown,Residential Area,In Progress,Medium,Public Works,,24.616053,46.677878
CMP-1060,9/27/2023,Noise Complaint,Noise Complaint reported in Parks,Industrial Area,Resolved,Medium,Public Works,4.0,24.6328,46.778927
CMP-1061,12/12/2024,Potholes,Potholes reported in Parks,Suburbs,Resolved,Critical,Public Works,5.0,24.691979,46.688835
CMP-1062,6/30/2024,Street Lighting,Street Lighting reported in Downtown,Parks,Resolved,Low,Sanitation,25.0,24.600104,46.779656
CMP-1063,9/29/2023,Noise Complaint,Noise Complaint reported in Industrial Area,Downtown,Escalated,Low,Parks & Recreation,,24.739202,46.654599
CMP-1064,11/5/2023,Street Lighting,Street Lighting reported in Parks,Residential Area,Resolved,Medium,Sanitation,4.0,24.817588,46.68728
CMP-1065,10/5/2024,Noise Complaint,Noise Complaint reported in City Center,Residential Area,Resolved,Low,Traffic,27.0,24.754623,46.673786
CMP-1066,10/17/2023,Street Lighting,Street Lighting reported in Parks,Residential Area,Pending,Medium,Traffic,,24.684182,46.797985
CMP-1067,3/6/2024,Noise Complaint,Noise Complaint reported in Downtown,Parks,Resolved,Medium,Water Management,15.0,24.827,46.668825
CMP-1068,1/7/2023,Illegal Parking,Illegal Parking reported in City Center,Parks,Resolved,Critical,Water Management,14.0,24.696253,46.723559
CMP-1069,10/27/2024,Street Lighting,Street Lighting reported in Parks,Downtown,Pending,High,Parks & Recreation,,24.794527,46.6479
CMP-1070,4/3/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Downtown,Resolved,High,Traffic,19.0,24.787121,46.667582
CMP-1071,6/27/2024,Water Leakage,Water Leakage reported in Parks,Parks,Pending,Low,Parks & Recreation,,24.61991,46.681863
CMP-1072,3/2/2024,Noise Complaint,Noise Complaint reported in Downtown,Industrial Area,Resolved,Critical,Traffic,21.0,24.773593,46.600999
CMP-1073,3/30/2024,Water Leakage,Water Leakage reported in City Center,Residential Area,Pending,Low,Sanitation,,24.801207,46.744655
CMP-1074,3/2/2024,Potholes,Potholes reported in Downtown,Industrial Area,Pending,Medium,Public Works,,24.673827,46.723395
CMP-1075,6/22/2023,Potholes,Potholes reported in Residential Area,City Center,In Progress,Medium,Sanitation,,24.734462,46.74504
CMP-1076,5/12/2023,Water Leakage,Water Leakage reported in Downtown,Parks,Resolved,Low,Parks & Recreation,14.0,24.793318,46.602968
CMP-1077,9/28/2024,Illegal Parking,Illegal Parking reported in Parks,City Center,Resolved,Medium,Traffic,30.0,24.673613,46.758751
CMP-1078,5/28/2023,Water Leakage,Water Leakage reported in Industrial Area,Downtown,In Progress,Low,Water Management,,24.828139,46.660308
CMP-1079,5/15/2023,Garbage Collection,Garbage Collection reported in City Center,Suburbs,Resolved,Low,Parks & Recreation,17.0,24.669916,46.602526
CMP-1080,3/6/2023,Street Lighting,Street Lighting reported in Residential Area,City Center,In Progress,Medium,Sanitation,,24.602115,46.690395
CMP-1081,8/22/2023,Noise Complaint,Noise Complaint reported in City Center,Downtown,Escalated,High,Water Management,,24.832929,46.663795
CMP-1082,4/18/2024,Garbage Collection,Garbage Collection reported in Downtown,Downtown,In Progress,Low,Sanitation,,24.822735,46.730982
CMP-1083,6/13/2023,Potholes,Potholes reported in Suburbs,City Center,Resolved,High,Public Works,6.0,24.750475,46.646822
CMP-1084,2/15/2024,Potholes,Potholes reported in City Center,Downtown,Pending,Critical,Traffic,,24.794114,46.663155
CMP-1085,5/22/2024,Street Lighting,Street Lighting reported in Suburbs,City Center,In Progress,High,Water Management,,24.793517,46.72902
CMP-1086,4/25/2023,Water Leakage,Water Leakage reported in Residential Area,Suburbs,Resolved,Low,Public Works,3.0,24.814909,46.686818
CMP-1087,9/16/2024,Street Lighting,Street Lighting reported in Downtown,City Center,Escalated,Low,Parks & Recreation,,24.759663,46.750116
CMP-1088,5/30/2024,Potholes,Potholes reported in Downtown,Downtown,Escalated,Low,Public Works,,24.724824,46.703563
CMP-1089,1/21/2023,Noise Complaint,Noise Complaint reported in Industrial Area,Suburbs,Pending,Medium,Parks & Recreation,,24.64484,46.762023
CMP-1090,1/15/2024,Noise Complaint,Noise Complaint reported in Residential Area,Residential Area,Pending,Low,Parks & Recreation,,24.770769,46.7676
CMP-1091,11/11/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Industrial Area,Resolved,Critical,Public Works,30.0,24.832592,46.728253
CMP-1092,11/4/2024,Garbage Collection,Garbage Collection reported in Residential Area,Downtown,In Progress,Medium,Parks & Recreation,,24.735567,46.622253
CMP-1093,2/26/2024,Illegal Parking,Illegal Parking reported in Parks,Parks,Resolved,Medium,Parks & Recreation,6.0,24.718932,46.74342
CMP-1094,3/19/2024,Garbage Collection,Garbage Collection reported in Industrial Area,Downtown,Resolved,Low,Parks & Recreation,10.0,24.805982,46.742655
CMP-1095,3/5/2024,Noise Complaint,Noise Complaint reported in Parks,Suburbs,Resolved,Critical,Parks & Recreation,23.0,24.825524,46.608444
CMP-1096,7/9/2023,Illegal Parking,Illegal Parking reported in Parks,Suburbs,Resolved,Low,Public Works,23.0,24.682916,46.733706
CMP-1097,5/25/2023,Garbage Collection,Garbage Collection reported in Downtown,Parks,Resolved,High,Traffic,26.0,24.644434,46.74282
CMP-1098,7/7/2023,Noise Complaint,Noise Complaint reported in Industrial Area,Industrial Area,Escalated,High,Parks & Recreation,,24.823754,46.7914
CMP-1099,7/23/2024,Water Leakage,Water Leakage reported in Parks,Downtown,Escalated,Critical,Parks & Recreation,,24.659014,46.675425
CMP-1100,6/3/2024,Noise Complaint,Noise Complaint reported in Parks,Suburbs,Resolved,High,Water Management,15.0,24.639915,46.673455
CMP-1101,8/19/2024,Garbage Collection,Garbage Collection reported in Downtown,Downtown,Escalated,Medium,Traffic,,24.651826,46.733744
CMP-1102,7/20/2024,Illegal Parking,Illegal Parking reported in Parks,Suburbs,Pending,Low,Water Management,,24.695302,46.760624
CMP-1103,2/14/2024,Water Leakage,Water Leakage reported in Parks,Downtown,In Progress,High,Water Management,,24.741139,46.622338
CMP-1104,10/1/2023,Garbage Collection,Garbage Collection reported in Industrial Area,Suburbs,Pending,Low,Sanitation,,24.684758,46.727369
CMP-1105,2/26/2023,Street Lighting,Street Lighting reported in Suburbs,Residential Area,Resolved,High,Traffic,26.0,24.642889,46.613715
CMP-1106,3/27/2024,Water Leakage,Water Leakage reported in Parks,Downtown,Resolved,High,Public Works,11.0,24.671816,46.789072
CMP-1107,12/25/2024,Street Lighting,Street Lighting reported in Industrial Area,Downtown,Resolved,High,Water Management,4.0,24.741431,46.762275
CMP-1108,6/14/2024,Garbage Collection,Garbage Collection reported in Parks,Downtown,Escalated,High,Sanitation,,24.663334,46.790937
CMP-1109,2/18/2023,Illegal Parking,Illegal Parking reported in Suburbs,Residential Area,Pending,Low,Public Works,,24.810535,46.600355
CMP-1110,3/7/2024,Potholes,Potholes reported in Suburbs,Suburbs,Resolved,Low,Parks & Recreation,15.0,24.724414,46.6579
CMP-1111,8/6/2024,Garbage Collection,Garbage Collection reported in Industrial Area,Downtown,In Progress,High,Parks & Recreation,,24.805696,46.617492
CMP-1112,2/18/2024,Street Lighting,Street Lighting reported in Industrial Area,City Center,Resolved,Low,Traffic,14.0,24.776314,46.713145
CMP-1113,10/4/2024,Illegal Parking,Illegal Parking reported in Downtown,Suburbs,Pending,Low,Parks & Recreation,,24.643165,46.605497
CMP-1114,3/25/2024,Illegal Parking,Illegal Parking reported in City Center,City Center,In Progress,Medium,Public Works,,24.61998,46.629177
CMP-1115,3/1/2023,Illegal Parking,Illegal Parking reported in Industrial Area,Industrial Area,In Progress,Low,Traffic,,24.618794,46.716886
CMP-1116,7/12/2023,Noise Complaint,Noise Complaint reported in Residential Area,Suburbs,In Progress,High,Traffic,,24.829523,46.700308
CMP-1117,10/13/2023,Street Lighting,Street Lighting reported in Industrial Area,Residential Area,Resolved,Medium,Water Management,22.0,24.786047,46.694628
CMP-1118,12/12/2024,Potholes,Potholes reported in Suburbs,Industrial Area,Escalated,Critical,Parks & Recreation,,24.682521,46.696959
CMP-1119,3/29/2023,Potholes,Potholes reported in City Center,Residential Area,Resolved,Medium,Water Management,12.0,24.826515,46.616519
CMP-1120,10/15/2024,Street Lighting,Street Lighting reported in Parks,Residential Area,In Progress,Low,Public Works,,24.713473,46.646863
CMP-1121,6/29/2024,Noise Complaint,Noise Complaint reported in Industrial Area,Suburbs,Resolved,High,Sanitation,24.0,24.761019,46.760848
CMP-1122,1/8/2024,Potholes,Potholes reported in Residential Area,Downtown,Pending,Critical,Public Works,,24.682829,46.641411
CMP-1123,10/30/2023,Street Lighting,Street Lighting reported in City Center,Residential Area,Resolved,Critical,Public Works,23.0,24.789932,46.699602
CMP-1124,9/6/2023,Illegal Parking,Illegal Parking reported in Suburbs,Parks,Resolved,High,Traffic,22.0,24.813312,46.724962
CMP-1125,11/5/2024,Potholes,Potholes reported in Industrial Area,Industrial Area,Pending,High,Traffic,,24.756085,46.601579
CMP-1126,4/22/2024,Street Lighting,Street Lighting reported in Parks,Downtown,In Progress,Medium,Sanitation,,24.680493,46.677175
CMP-1127,4/22/2023,Garbage Collection,Garbage Collection reported in Parks,City Center,Resolved,Medium,Traffic,15.0,24.7243,46.648412
CMP-1128,8/29/2024,Illegal Parking,Illegal Parking reported in Suburbs,Parks,Resolved,Medium,Sanitation,20.0,24.631325,46.696723
CMP-1129,9/4/2024,Garbage Collection,Garbage Collection reported in Industrial Area,City Center,Resolved,Medium,Water Management,3.0,24.636442,46.646608
CMP-1130,12/30/2023,Water Leakage,Water Leakage reported in Residential Area,Residential Area,In Progress,High,Sanitation,,24.821828,46.79364
CMP-1131,9/5/2023,Garbage Collection,Garbage Collection reported in Residential Area,Industrial Area,Resolved,Critical,Sanitation,19.0,24.621635,46.602487
CMP-1132,8/16/2024,Potholes,Potholes reported in City Center,Downtown,Escalated,Critical,Sanitation,,24.652262,46.785646
CMP-1133,2/27/2023,Noise Complaint,Noise Complaint reported in Parks,Downtown,Resolved,High,Public Works,30.0,24.634499,46.689544
CMP-1134,6/10/2024,Illegal Parking,Illegal Parking reported in Parks,Downtown,Resolved,Critical,Water Management,12.0,24.647874,46.654597
CMP-1135,9/22/2023,Garbage Collection,Garbage Collection reported in Residential Area,Residential Area,Escalated,High,Sanitation,,24.611475,46.660494
CMP-1136,2/13/2023,Street Lighting,Street Lighting reported in Suburbs,Downtown,Resolved,Low,Water Management,11.0,24.786727,46.799229
CMP-1137,1/2/2024,Garbage Collection,Garbage Collection reported in Suburbs,City Center,In Progress,Medium,Parks & Recreation,,24.70516,46.656434
CMP-1138,7/3/2024,Street Lighting,Street Lighting reported in Downtown,Suburbs,Resolved,High,Sanitation,5.0,24.730883,46.799572
CMP-1139,8/6/2024,Potholes,Potholes reported in Residential Area,Residential Area,Pending,Low,Parks & Recreation,,24.70238,46.730207
CMP-1140,3/23/2024,Noise Complaint,Noise Complaint reported in Residential Area,Downtown,Resolved,Low,Parks & Recreation,8.0,24.713393,46.63117
CMP-1141,2/5/2024,Water Leakage,Water Leakage reported in Suburbs,Downtown,In Progress,Low,Parks & Recreation,,24.808594,46.78534
CMP-1142,9/19/2024,Potholes,Potholes reported in Downtown,Industrial Area,Resolved,Medium,Water Management,10.0,24.625393,46.610953
CMP-1143,8/23/2024,Garbage Collection,Garbage Collection reported in Parks,City Center,Resolved,Medium,Parks & Recreation,29.0,24.72424,46.640424
CMP-1144,12/25/2023,Potholes,Potholes reported in Industrial Area,Parks,Escalated,Critical,Water Management,,24.675287,46.632257
CMP-1145,9/20/2023,Street Lighting,Street Lighting reported in Residential Area,Industrial Area,Resolved,High,Water Management,21.0,24.6048,46.774583
CMP-1146,2/16/2024,Street Lighting,Street Lighting reported in Downtown,Industrial Area,In Progress,High,Traffic,,24.822729,46.689898
CMP-1147,9/25/2023,Water Leakage,Water Leakage reported in City Center,Parks,Escalated,Medium,Sanitation,,24.639114,46.719296
CMP-1148,1/17/2023,Noise Complaint,Noise Complaint reported in Downtown,Parks,Resolved,Low,Water Management,4.0,24.690474,46.696405
CMP-1149,3/4/2024,Illegal Parking,Illegal Parking reported in Residential Area,City Center,Pending,Low,Parks & Recreation,,24.788295,46.655867
CMP-1150,5/10/2024,Garbage Collection,Garbage Collection reported in City Center,Residential Area,Resolved,High,Public Works,15.0,24.664348,46.603168
CMP-1151,12/23/2023,Illegal Parking,Illegal Parking reported in Industrial Area,Suburbs,Escalated,Medium,Parks & Recreation,,24.842147,46.675784
CMP-1152,12/11/2023,Water Leakage,Water Leakage reported in Parks,Suburbs,Resolved,Medium,Public Works,5.0,24.836118,46.709484
CMP-1153,2/17/2023,Potholes,Potholes reported in Residential Area,City Center,In Progress,Critical,Sanitation,,24.749065,46.727646
CMP-1154,4/12/2023,Potholes,Potholes reported in Suburbs,Downtown,Resolved,Medium,Public Works,26.0,24.761907,46.771121
CMP-1155,12/14/2023,Illegal Parking,Illegal Parking reported in Downtown,Industrial Area,Resolved,High,Traffic,26.0,24.62903,46.735649
CMP-1156,2/13/2023,Potholes,Potholes reported in Parks,Parks,Resolved,Critical,Traffic,13.0,24.742193,46.768493
CMP-1157,4/16/2024,Street Lighting,Street Lighting reported in Suburbs,Industrial Area,In Progress,Critical,Parks & Recreation,,24.815034,46.677017
CMP-1158,10/1/2024,Water Leakage,Water Leakage reported in Downtown,City Center,Resolved,Low,Sanitation,8.0,24.800652,46.735049
CMP-1159,3/26/2024,Noise Complaint,Noise Complaint reported in Downtown,City Center,Pending,Low,Parks & Recreation,,24.620149,46.628094
CMP-1160,5/1/2023,Noise Complaint,Noise Complaint reported in City Center,Suburbs,Resolved,High,Public Works,23.0,24.725813,46.684314
CMP-1161,11/28/2023,Illegal Parking,Illegal Parking reported in City Center,Industrial Area,Resolved,Medium,Public Works,23.0,24.792503,46.77473
CMP-1162,2/12/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Suburbs,Pending,Low,Water Management,,24.650989,46.692712
CMP-1163,3/5/2023,Garbage Collection,Garbage Collection reported in City Center,Downtown,In Progress,Low,Public Works,,24.826494,46.790289
CMP-1164,7/4/2024,Street Lighting,Street Lighting reported in Suburbs,Suburbs,Resolved,Low,Water Management,2.0,24.790074,46.735333
CMP-1165,6/23/2024,Illegal Parking,Illegal Parking reported in Parks,Industrial Area,Resolved,Medium,Traffic,14.0,24.822041,46.751216
CMP-1166,4/27/2023,Illegal Parking,Illegal Parking reported in Residential Area,Residential Area,In Progress,Critical,Parks & Recreation,,24.761521,46.796668
CMP-1167,2/15/2024,Noise Complaint,Noise Complaint reported in Suburbs,Industrial Area,Resolved,High,Sanitation,13.0,24.80157,46.700271
CMP-1168,8/19/2024,Street Lighting,Street Lighting reported in Suburbs,Parks,Resolved,Low,Parks & Recreation,17.0,24.65048,46.688414
CMP-1169,6/21/2024,Garbage Collection,Garbage Collection reported in Residential Area,Downtown,Resolved,Medium,Sanitation,30.0,24.688536,46.711726
CMP-1170,7/23/2023,Illegal Parking,Illegal Parking reported in Residential Area,Industrial Area,In Progress,High,Sanitation,,24.672945,46.702255
CMP-1171,4/19/2024,Water Leakage,Water Leakage reported in City Center,Suburbs,In Progress,Medium,Sanitation,,24.612645,46.783137
CMP-1172,1/2/2024,Water Leakage,Water Leakage reported in Residential Area,Parks,Resolved,Low,Water Management,27.0,24.765471,46.726268
CMP-1173,1/25/2024,Water Leakage,Water Leakage reported in Suburbs,City Center,Pending,Low,Public Works,,24.607911,46.734985
CMP-1174,3/27/2023,Street Lighting,Street Lighting reported in Downtown,Parks,Resolved,Critical,Sanitation,30.0,24.803152,46.751519
CMP-1175,6/18/2023,Garbage Collection,Garbage Collection reported in Parks,Suburbs,Resolved,Low,Traffic,8.0,24.838596,46.659584
CMP-1176,7/13/2024,Illegal Parking,Illegal Parking reported in Industrial Area,City Center,In Progress,Medium,Parks & Recreation,,24.691828,46.746109
CMP-1177,12/28/2023,Illegal Parking,Illegal Parking reported in City Center,Suburbs,In Progress,Critical,Sanitation,,24.829447,46.737388
CMP-1178,8/30/2024,Street Lighting,Street Lighting reported in Parks,Suburbs,Pending,Medium,Traffic,,24.772972,46.731552
CMP-1179,3/15/2024,Noise Complaint,Noise Complaint reported in Industrial Area,City Center,Resolved,Medium,Traffic,12.0,24.7045,46.728897
CMP-1180,4/11/2024,Illegal Parking,Illegal Parking reported in Residential Area,Industrial Area,Escalated,Medium,Water Management,,24.662942,46.735004
CMP-1181,4/3/2024,Water Leakage,Water Leakage reported in Industrial Area,Parks,In Progress,Low,Water Management,,24.796443,46.611751
CMP-1182,10/5/2024,Noise Complaint,Noise Complaint reported in City Center,Industrial Area,Resolved,High,Traffic,13.0,24.657277,46.798059
CMP-1183,7/30/2023,Noise Complaint,Noise Complaint reported in Residential Area,Downtown,In Progress,High,Parks & Recreation,,24.79555,46.666793
CMP-1184,8/17/2024,Water Leakage,Water Leakage reported in Industrial Area,Downtown,In Progress,Low,Sanitation,,24.604819,46.675896
CMP-1185,9/25/2023,Potholes,Potholes reported in Residential Area,Parks,In Progress,Low,Traffic,,24.636558,46.793378
CMP-1186,3/26/2023,Noise Complaint,Noise Complaint reported in Parks,Suburbs,Resolved,Medium,Water Management,15.0,24.732684,46.754556
CMP-1187,6/23/2024,Street Lighting,Street Lighting reported in Suburbs,Industrial Area,Resolved,Medium,Public Works,24.0,24.707724,46.720881
CMP-1188,11/7/2024,Illegal Parking,Illegal Parking reported in City Center,Suburbs,Pending,Low,Traffic,,24.672138,46.658677
CMP-1189,12/23/2023,Garbage Collection,Garbage Collection reported in Industrial Area,Residential Area,Resolved,Low,Traffic,18.0,24.696832,46.611649
CMP-1190,6/1/2023,Illegal Parking,Illegal Parking reported in Suburbs,Industrial Area,In Progress,Low,Sanitation,,24.628087,46.728278
CMP-1191,10/1/2024,Noise Complaint,Noise Complaint reported in Parks,Industrial Area,In Progress,Low,Public Works,,24.840276,46.61083
CMP-1192,3/17/2023,Noise Complaint,Noise Complaint reported in Downtown,Industrial Area,In Progress,Critical,Parks & Recreation,,24.827299,46.606142
CMP-1193,2/6/2024,Potholes,Potholes reported in Suburbs,Downtown,Resolved,Critical,Public Works,12.0,24.818308,46.668062
CMP-1194,1/28/2023,Garbage Collection,Garbage Collection reported in Suburbs,Parks,Resolved,Critical,Public Works,20.0,24.847689,46.75453
CMP-1195,3/12/2023,Street Lighting,Street Lighting reported in City Center,Parks,In Progress,Low,Public Works,,24.608904,46.677939
CMP-1196,12/24/2024,Illegal Parking,Illegal Parking reported in Downtown,Industrial Area,In Progress,Low,Traffic,,24.762599,46.772725
CMP-1197,9/18/2024,Garbage Collection,Garbage Collection reported in Downtown,Residential Area,In Progress,Low,Sanitation,,24.762822,46.705493
CMP-1198,8/18/2024,Illegal Parking,Illegal Parking reported in Industrial Area,City Center,Escalated,Medium,Water Management,,24.819824,46.628996
CMP-1199,4/3/2024,Noise Complaint,Noise Complaint reported in Industrial Area,Industrial Area,Pending,Low,Parks & Recreation,,24.715234,46.783626
CMP-1200,2/15/2023,Garbage Collection,Garbage Collection reported in Industrial Area,Residential Area,Pending,Low,Traffic,,24.70715,46.659469
CMP-1201,2/13/2024,Illegal Parking,Illegal Parking reported in Suburbs,Downtown,Pending,Low,Parks & Recreation,,24.689848,46.70466
CMP-1202,9/8/2024,Street Lighting,Street Lighting reported in Downtown,Industrial Area,Escalated,Low,Water Management,,24.676298,46.725237
CMP-1203,9/22/2024,Illegal Parking,Illegal Parking reported in Suburbs,Downtown,Resolved,Medium,Water Management,20.0,24.801659,46.746872
